date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-10,California,State,Delta,0.0,0.0,1.57142857142,0.306748466258
2021-01-10,California,State,Other,68.0,43.04,220.85714285714,43.112102621305
2021-01-10,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-10,California,State,Alpha,0.0,0.0,7.0,1.366424986057
2021-01-10,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-11,California,State,Epsilon,268.0,47.77,221.28571428571,53.69150779896
2021-01-11,California,State,Total,561.0,100.0,412.14285714285,100.0
2021-01-11,California,State,Gamma,0.0,0.0,0.0,0.0
2021-01-11,California,State,Alpha,8.0,1.43,7.14285714285,1.733102253033
2021-01-11,California,State,Mu,1.0,0.18,0.14285714285,0.034662045061
2021-01-11,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-11,California,State,Omicron,2.0,0.36,1.28571428571,0.311958405546
2021-01-11,California,State,Delta,2.0,0.36,1.14285714285,0.277296360485
2021-01-11,California,State,Beta,1.0,0.18,0.14285714285,0.034662045061
2021-01-11,California,State,Other,279.0,49.73,181.0,43.916811091854
2021-01-12,California,State,Total,550.0,100.0,374.42857142857,100.0
2021-01-12,California,State,Delta,1.0,0.18,1.28571428571,0.343380389164
2021-01-12,California,State,Gamma,1.0,0.18,0.14285714285,0.038153376574
2021-01-12,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-12,California,State,Omicron,0.0,0.0,1.28571428571,0.343380389164
2021-01-12,California,State,Alpha,9.0,1.64,6.14285714285,1.640595192675
2021-01-12,California,State,Mu,0.0,0.0,0.14285714285,0.038153376574
2021-01-12,California,State,Epsilon,302.0,54.91,201.42857142857,53.796260969096
2021-01-12,California,State,Beta,0.0,0.0,0.14285714285,0.038153376574
2021-01-12,California,State,Other,237.0,43.09,163.85714285714,43.761922930179
2021-01-13,California,State,Alpha,9.0,1.57,7.0,1.735127478754
2021-01-13,California,State,Total,575.0,100.0,403.42857142857,100.0
2021-01-13,California,State,Beta,0.0,0.0,0.14285714285,0.035410764873
2021-01-13,California,State,Omicron,2.0,0.35,1.28571428571,0.318696883853
2021-01-13,California,State,Epsilon,335.0,58.26,219.28571428571,54.35552407932
2021-01-13,California,State,Mu,0.0,0.0,0.14285714285,0.035410764873
2021-01-13,California,State,Gamma,0.0,0.0,0.14285714285,0.035410764873
2021-01-13,California,State,Other,228.0,39.65,174.42857142857,43.236543909348
2021-01-13,California,State,Delta,1.0,0.17,1.0,0.247875354108
2021-01-13,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-14,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-14,California,State,Gamma,0.0,0.0,0.14285714285,0.031377470976
2021-01-14,California,State,Other,234.0,34.87,189.57142857142,41.637903984939
2021-01-14,California,State,Beta,0.0,0.0,0.14285714285,0.031377470976
2021-01-14,California,State,Epsilon,423.0,63.04,256.42857142857,56.322560401632
2021-01-14,California,State,Mu,0.0,0.0,0.14285714285,0.031377470976
2021-01-14,California,State,Total,671.0,100.0,455.28571428571,100.0
2021-01-14,California,State,Alpha,14.0,2.09,6.85714285714,1.50611860684
2021-01-14,California,State,Delta,0.0,0.0,1.0,0.219642296831
2021-01-14,California,State,Omicron,0.0,0.0,1.0,0.219642296831
2021-01-15,California,State,Epsilon,314.0,55.77,290.28571428571,56.38179800222
2021-01-15,California,State,Beta,0.0,0.0,0.14285714285,0.027746947836
2021-01-15,California,State,Lambda,0.0,0.0,0.0,0.0
